Actual,Bacterial_spot,Early_blight,Late_blight,Leaf_Mold,Septoria_leaf_spot,Target_Spot,Yellow_Leaf_Curl,healthy,mosaic_virus,spider_mite
Bacterial_spot,218,3,0,2,11,0,0,1,2,2
Early_blight,12,61,1,5,4,0,1,4,7,1
Late_blight,5,2,0,7,4,1,0,166,2,0
Leaf_Mold,2,0,77,14,3,0,2,3,0,1
Septoria_leaf_spot,3,2,2,143,8,1,2,5,3,0
Target_Spot,2,4,0,5,0,1,8,3,110,6
Yellow_Leaf_Curl,7,2,0,3,510,0,4,0,3,0
healthy,0,0,0,0,0,0,0,1,2,167
mosaic_virus,0,0,3,3,1,22,3,0,1,0
spider_mite,0,0,1,1,3,1,135,1,9,1
